geo,time,search_contribution,social_contribution,video_contribution,baseline,noise
Region 1,2025-07-21,2863.09263136,2190.60754757,1132.28878643,21355.78089097,-73.86716072
Region 1,2025-07-28,2960.92846681,1526.14029726,1478.19094565,20713.58215114,-106.21350418
Region 1,2025-08-04,2599.82522703,2424.09001397,1513.17622928,20070.43088794,1033.33113743
Region 1,2025-08-11,2245.24998141,2174.79920163,1463.14418784,21127.66854658,-50.23841778
Region 1,2025-08-18,1191.70655387,2265.51209288,1213.53806826,21191.45749611,441.00221472
Region 1,2025-08-25,1117.06601710,1844.23580711,1133.27325650,20520.75904902,102.94588307
Region 1,2025-09-01,2017.47821221,1919.28209075,1382.13749133,20022.02988018,-688.92152536
Region 1,2025-09-08,1883.04116765,1792.63622185,1890.15430128,19670.90625469,-348.08637941
Region 1,2025-09-15,2279.84455498,1857.60283987,1708.16273784,20668.63220954,50.24482982
Region 1,2025-09-22,2615.65652402,1706.56955640,1800.76061720,21454.66540373,-186.55042800
Region 1,2025-09-29,1981.58567550,1909.90694298,1844.92794148,20127.51273105,402.67587577
Region 1,2025-10-06,1219.18939523,1751.63909206,1982.04733368,19906.97734224,4.79907127
Region 1,2025-10-13,2037.31870095,1835.31691183,1890.61603167,20799.01172218,235.49395346
Region 1,2025-10-20,2751.01991725,1553.90904850,1830.92285278,20068.84932834,-137.62606536
Region 1,2025-10-27,2678.58546495,1731.13451409,1765.65000166,20106.41190315,-429.16279294
Region 1,2025-11-03,1598.79366747,2224.16245698,1731.85373916,22715.40675187,-106.46037210
Region 1,2025-11-10,1738.13180505,1961.86635890,1609.01545772,19731.18862549,-86.12166140
Region 1,2025-11-17,2894.73250915,1352.82846987,1637.38533280,22056.03615969,-305.25678536
Region 1,2025-11-24,2329.73974721,1816.86803274,2059.88878216,20001.54972678,-186.90442936
Region 1,2025-12-01,2369.21276428,2649.37593658,2187.57980137,20910.41720688,-873.96482161
Region 1,2025-12-08,2455.43815558,2217.27128380,1962.51155887,20541.13521037,334.08580837
Region 1,2025-12-15,1628.73498042,2991.57911521,1901.29335023,20973.19421631,135.46326903
Region 1,2025-12-22,1651.42442936,2665.69642213,1678.95806132,21106.31575179,-562.93715355
Region 2,2024-01-01,2515.46898596,1432.29749891,2314.78080330,24372.88357897,-128.78455461
Region 2,2024-01-08,2685.89570192,1920.18003273,2007.58806794,26156.87691858,-618.94519791
Region 2,2024-01-15,3605.36485981,1899.35085375,1954.30810437,26338.48944940,20.21876616
Region 2,2024-01-22,3453.95820578,1786.10976925,1867.32573926,26096.17052023,200.29758384
Region 2,2024-01-29,3099.59399059,3099.95286536,2055.17895414,26217.38301856,-707.69172198
Region 2,2024-02-05,1805.77674724,2702.34367240,2255.87170946,26627.42799363,-1098.47760728
Region 2,2024-02-12,1872.16146023,2037.35717148,2635.47340858,26032.05837540,-584.38797592
Region 2,2024-02-19,2402.16624798,2264.39688725,2376.32606624,26756.85688882,-616.81217056
Region 2,2024-02-26,2060.33577113,1717.36957847,2546.61074222,28699.24568037,607.14311084
Region 2,2024-03-04,3726.05685044,2224.92652141,2422.08435955,27770.67185922,133.53222799
Region 2,2024-03-11,3257.21332805,1959.30883155,2249.35268980,26330.38294223,-51.22589856
Region 2,2024-03-18,3971.49496138,1543.96383123,2435.76348750,26954.86117462,-358.56819022
Region 2,2024-03-25,3000.59225621,2992.03808630,2225.55590936,26931.80221270,67.37451220
Region 2,2024-04-01,3091.87659560,3531.88604975,1997.59049278,28358.87554091,292.06029732
Region 2,2024-04-08,2877.28991291,3328.05829038,2523.72097837,24842.58569129,568.99687845
Region 2,2024-04-15,3496.00502095,2540.18956055,2546.51851873,26727.90557458,787.52430657
Region 2,2024-04-22,2403.75978228,2087.76990017,2469.06854188,27903.66007991,25.36447408
Region 2,2024-04-29,1894.25545166,2941.08991266,2366.89921914,26385.34342017,289.56245816
Region 2,2024-05-06,2372.70025899,3094.58553360,2358.99946205,26052.46775236,444.75275314
Region 2,2024-05-13,2482.58358863,2554.38692950,2038.80572131,27491.27046901,-502.21425016
Region 2,2024-05-20,2944.46828971,2269.21619726,2116.27848277,26454.93408807,153.66424418
Region 2,2024-05-27,2781.60980393,1569.08814358,2544.82536696,26305.38892854,416.71735926
Region 2,2024-06-03,3046.01195375,1134.35396878,2795.56333555,26924.96841591,-285.59746960
Region 2,2024-06-10,1578.17550900,1763.06152879,3097.69069616,24564.10186903,-476.02495225
Region 2,2024-06-17,3089.13769684,1662.13243908,2892.71879822,26660.33676826,-491.21392431
Region 2,2024-06-24,2788.74797756,2131.38507138,2577.88758988,24422.72048086,-525.59430666
Region 2,2024-07-01,3148.78798659,2681.84357331,2284.55365595,26027.35706483,164.73543725
Region 2,2024-07-08,1976.11315096,2415.31571294,1835.48483713,27152.78667884,870.96019840
Region 2,2024-07-15,3299.03870763,2156.52776465,2120.94824503,25289.43212366,-54.35109915
Region 2,2024-07-22,3326.74376458,1538.23509173,2028.79599991,25195.95405714,-601.69562494
Region 2,2024-07-29,3458.25838334,1880.55172728,2074.47862669,24943.02956209,-309.21459303
Region 2,2024-08-05,2703.93408990,2133.93988507,1904.53908045,24954.20560266,219.59937153
Region 2,2024-08-12,2524.74640669,3353.06667603,1528.32626414,25229.57739540,-151.37535350
Region 2,2024-08-19,3001.75125995,3142.58586439,1281.79828326,23870.61795520,327.19733102
Region 2,2024-08-26,1871.22266885,3112.31483932,1392.51013264,24829.11552978,973.49003143
Region 2,2024-09-02,3191.78969588,2731.45915033,1084.01938611,23668.39587631,20.58954795
Region 2,2024-09-09,2720.85848074,2032.39644824,1107.44980569,23532.68919127,-753.75852231
Region 2,2024-09-16,3167.73412346,1684.45146991,1568.99731135,25526.83208669,-121.32519917
Region 2,2024-09-23,3916.81840982,2580.43097047,1557.32931331,23871.13167201,-458.13961027
Region 2,2024-09-30,3146.60894709,2926.79620441,2206.23409429,23322.44499788,-414.03000826
Region 2,2024-10-07,2605.46982869,2322.62830409,2139.15156604,22655.14613244,182.06996697
Region 2,2024-10-14,1760.05848982,2868.74859789,2388.26123876,23522.86922757,577.63434872
Region 2,2024-10-21,2059.40478235,2464.94389937,2617.65051482,23914.75036212,-380.30382131
Region 2,2024-10-28,3216.85216250,2489.59404670,2461.62558854,25981.64875086,-638.21269105
Region 2,2024-11-04,2641.73729708,3056.68114483,2451.79144027,25005.04880553,490.56810828
Region 2,2024-11-11,2016.93519273,2756.71038025,2452.91374397,23840.49854601,1257.00432439
Region 2,2024-11-18,2707.34752668,3004.41835275,2825.13013300,24653.34310810,-204.74925701
Region 2,2024-11-25,3168.53540236,2722.82028641,2612.92687195,23567.42589122,586.43920043
Region 2,2024-12-02,2204.16494482,2748.55469507,2450.18417927,25015.16079557,24.34497835
Region 2,2024-12-09,2382.00675150,2879.68036524,1974.75998491,25735.69444635,-508.67856942
Region 2,2024-12-16,1470.41968795,2436.82660397,2103.93695468,23760.44548911,-615.58129652
Region 2,2024-12-23,2381.95218579,2888.08606753,3334.13786537,25447.79202676,-316.90759717
Region 2,2024-12-30,2727.43613398,2246.50133481,3011.20025175,26361.52354292,-213.41673816
Region 2,2025-01-06,1826.45124015,2047.25353243,3121.28371852,25525.01826678,-714.53953386
Region 2,2025-01-13,3170.24434129,2487.09421710,2828.68387570,26494.17227904,144.78020531
Region 2,2025-01-20,3147.22762480,2354.50799556,2703.26842643,27289.04780959,-89.79781281
Region 2,2025-01-27,2880.06605144,2105.14649799,2536.49841540,25965.69993520,351.37387921
Region 2,2025-02-03,3540.80216865,1852.54237002,2668.81617837,26467.24109704,-223.61636699
Region 2,2025-02-10,2668.05535442,2129.39884607,2427.87271862,26247.70942319,-494.37337505
Region 2,2025-02-17,1514.09399802,3595.59315330,2391.53835699,27202.87005105,-463.69566882
Region 2,2025-02-24,962.49595858,2879.32227245,2163.51730593,26360.13547314,452.37524980
Region 2,2025-03-03,2409.27436980,2836.25049256,2227.00580264,27765.41656714,450.41050479
Region 2,2025-03-10,1588.09339736,2897.59192252,2257.07478724,26731.75678687,861.28996420
Region 2,2025-03-17,2553.13431163,2582.86737275,2370.77318512,28423.77023602,-806.14945714
Region 2,2025-03-24,2848.24871127,3011.60818005,2983.91150926,29268.98832563,-40.18848616
Region 2,2025-03-31,3668.80054665,2505.13767806,2741.11637586,27899.15454868,469.10026926
Region 2,2025-04-07,2891.11572958,2273.90946462,2303.12899932,27329.88878242,-136.94335208
Region 2,2025-04-14,3138.65068915,2180.78050663,2431.15129352,26335.60957353,-392.07515285
Region 2,2025-04-21,3079.63595138,2995.83900149,2126.97877837,27251.09228293,-346.22009315
Region 2,2025-04-28,2469.45511611,2843.17609728,1706.15457020,28377.03029060,-210.29342196
Region 2,2025-05-05,3547.34745041,2555.68513448,2176.03483617,27314.18276966,-1168.46290823
Region 2,2025-05-12,2987.70790143,1841.84793056,2728.55244260,28681.45804500,915.57971678
Region 2,2025-05-19,3087.03761551,1365.31785924,2471.53961084,26957.38668932,-467.67789054
Region 2,2025-05-26,3180.78816969,2215.56896287,2182.75583229,26863.50414489,-132.95773469
Region 2,2025-06-02,1756.76128007,2086.71156267,2033.11332135,27347.10919614,837.49771430
Region 2,2025-06-09,2866.96211117,2140.81286677,2500.35886939,27312.44758107,-483.63814874
Region 2,2025-06-16,2572.36429161,1664.75291642,2314.86832791,25398.66478354,-123.61906023
Region 2,2025-06-23,2765.23621503,1641.55893063,2091.64458025,26110.43890246,367.03041700
Region 2,2025-06-30,2976.70991129,2435.36227343,1811.18564802,26033.37567009,-9.95935715
Region 2,2025-07-07,3026.43421787,2824.93773225,1953.90253331,26231.11006505,-56.86974911
Region 2,2025-07-14,2275.70821659,2514.66971327,2091.36562170,26315.26659032,217.05766118
Region 2,2025-07-21,3286.23922995,2252.10871631,1668.22999280,26286.17260765,651.97997830
Region 2,2025-07-28,3246.98314090,2510.42216623,1815.00760126,26238.65581901,234.14147532
Region 2,2025-08-04,2350.22323794,2874.90099766,1886.47298504,24195.46284968,280.45437927
Region 2,2025-08-11,2733.29486194,2122.48111828,1900.25721031,26243.59520635,-394.64126082
Region 2,2025-08-18,2729.76884411,2099.06000348,1874.51719629,26090.39608275,31.85073792
Region 2,2025-08-25,1490.94546702,1800.60849049,2010.68437316,25369.97690569,198.43484583
Region 2,2025-09-01,3313.46369045,1786.54409479,1936.34581157,26410.73908069,14.65276916
Region 2,2025-09-08,2235.89232913,2987.01291779,1929.01643045,24596.65208148,-192.37832214
Region 2,2025-09-15,1752.96727293,2632.47975252,2148.57892060,25732.70532326,-323.69705003
Region 2,2025-09-22,1050.99065241,2450.82873659,2465.64101588,24743.50459470,-169.32322830
Region 2,2025-09-29,972.71689270,2549.44119838,2490.39501974,25536.59303297,18.91784169
Region 2,2025-10-06,2253.57607802,1723.52956314,2076.78092013,24452.84389543,604.69320930
Region 2,2025-10-13,1766.84246972,2499.84960229,2537.88097585,25477.61015092,752.39540621
Region 2,2025-10-20,3151.72747348,2687.48945196,2277.81614232,25635.18318286,273.20212109
Region 2,2025-10-27,3933.90512446,2231.09135474,1884.88357152,26104.14036275,637.66946039
Region 2,2025-11-03,2736.87707172,2342.47539992,1579.28803305,26258.31087319,-28.32175052
Region 2,2025-11-10,2953.73052067,2162.46272864,2105.85608749,25473.40448470,138.34993723
Region 2,2025-11-17,1768.49451061,1403.43904243,2468.08535953,26184.10473629,-711.68663482
Region 2,2025-11-24,3574.95972700,2491.36085431,2291.81017953,26993.32645376,-177.61592373
Region 2,2025-12-01,2354.03647556,2402.33260520,2473.58193884,27175.56767719,-99.52036496
Region 2,2025-12-08,2868.07830561,2951.68268465,2404.34481133,27377.90731507,-135.08036534
Region 2,2025-12-15,2469.04656480,2273.57177023,2051.78254957,28110.34290147,-297.49685365
Region 2,2025-12-22,1097.39773787,2796.55278649,2544.49826220,26751.63033296,-46.91682509
Region 3,2024-01-01,2179.14109771,494.43583804,1485.41731477,30545.41804884,196.37805179
Region 3,2024-01-08,2428.50126217,2558.10918610,1855.95063360,30843.42984925,523.25180996
Region 3,2024-01-15,2617.86912189,2437.08584610,1914.62481529,29212.67353890,-895.46707918
Region 3,2024-01-22,3598.05562815,2856.38156939,2357.03685571,33029.46247405,488.68505709
Region 3,2024-01-29,3686.75386982,2924.35471244,2972.21579715,31177.41277288,-43.79849687
Region 3,2024-02-05,2245.87115249,2715.17583493,2552.46130259,29946.06211873,1318.64420431
Region 3,2024-02-12,2846.90799135,2631.30715846,2539.08906331,31170.17737778,-685.27921669
Region 3,2024-02-19,3174.00567901,3056.83431396,2783.24781706,29083.15554752,-388.75022491
Region 3,2024-02-26,3162.58477171,2289.33045596,2590.15862308,31703.82152152,248.34111090
Region 3,2024-03-04,2984.01957474,3395.79975340,3366.65293665,32292.98363764,-112.11837761
Region 3,2024-03-11,3131.67564010,2565.89796578,2806.11899538,34403.25845654,-155.01153668
Region 3,2024-03-18,2457.59743586,2629.80230030,2751.65218708,30665.72887491,-810.68037592
Region 3,2024-03-25,3503.33065851,2751.93947744,2796.41842281,33064.46896796,253.03491240
Region 3,2024-04-01,4366.00058114,2184.05223225,2408.84504839,32895.19777626,-49.87422112
Region 3,2024-04-08,3997.64803339,2465.18048367,2421.57730852,35383.62106001,257.79963557
Region 3,2024-04-15,4277.63183301,2282.83998444,3044.88379465,31319.49372803,-222.81135679
Region 3,2024-04-22,3514.18569087,2504.74699367,3166.36550047,32510.54945450,-840.41650965
Region 3,2024-04-29,1673.37259194,2597.27428440,3104.55905788,32851.20805833,-391.53154141
Region 3,2024-05-06,4136.11961235,2761.96833859,3968.38303258,33004.85980220,135.11050058
Region 3,2024-05-13,4054.36029264,2502.23015841,3549.99461476,30901.53536802,1144.24715297
Region 3,2024-05-20,4165.76636475,1732.98756479,3409.39996443,31468.67717072,1222.67786572
Region 3,2024-05-27,3183.16272956,2553.80210758,3486.62683974,33272.36451818,501.47645642
Region 3,2024-06-03,3918.59860141,2617.73283567,3110.66956495,30785.83042999,-61.51901941
Region 3,2024-06-10,4167.25474346,2543.97937015,2724.00131586,30998.49444013,62.65251572
Region 3,2024-06-17,3926.71424947,2238.77561740,2299.95137765,32509.83814895,686.80386174
Region 3,2024-06-24,3156.78800028,1518.69476621,1746.31018550,31827.09358036,-500.08183209
Region 3,2024-07-01,3241.84032622,3064.63287262,1664.12835365,32580.66782172,342.24146124
Region 3,2024-07-08,2721.18789611,2846.03015604,1889.22019186,29423.15859772,827.38671628
Region 3,2024-07-15,3400.67919748,1937.35740935,1410.61788631,28892.48880424,-616.04155435
Region 3,2024-07-22,3709.58456653,2417.99776701,1120.28545790,31565.34695572,-793.05087385
Region 3,2024-07-29,3667.15400402,2257.10792417,1076.23354345,29042.70786410,438.30952665
Region 3,2024-08-05,2444.34148825,2217.20425617,2160.44554170,30181.84386034,927.29376774
Region 3,2024-08-12,2621.91061336,2088.28409705,2330.11140221,28700.04981743,275.97880042
Region 3,2024-08-19,4631.05299110,3935.65510691,2459.63455866,28027.69528864,-378.65766522
Region 3,2024-08-26,3401.78248731,3591.92153038,2164.13013390,29132.58365276,-1255.80955052
Region 3,2024-09-02,2430.50953686,2872.91681925,2391.04192853,29117.23787842,819.05155523
Region 3,2024-09-09,3005.98617324,3581.43664851,2070.23464007,27993.84721667,-48.86522546
Region 3,2024-09-16,2421.80766796,3382.42398962,2312.39024557,29772.51866472,-242.13482264
Region 3,2024-09-23,2991.78846926,3204.27238255,1970.01541488,30476.26415482,183.53855479
Region 3,2024-09-30,3844.98771678,2901.24134956,2151.47558419,30294.62403454,-500.45150642
Region 3,2024-10-07,3117.27515525,3579.43490931,2136.94834822,30366.06011441,348.49092127
Region 3,2024-10-14,3450.24824147,3150.57475249,2316.42125358,29335.48162770,-28.39490298
Region 3,2024-10-21,2172.73758947,3053.66908831,3187.53282889,30693.97865503,-888.46319009
Region 3,2024-10-28,1760.58385274,2280.70183447,3209.85530082,29414.64626177,-955.32244177
Region 3,2024-11-04,1384.08021868,2143.46484760,3007.39760564,28545.69660255,541.34237286
Region 3,2024-11-11,1455.85313745,2119.82872527,2635.57909101,28249.83800745,656.75481348
Region 3,2024-11-18,3629.46904024,2307.08442965,2145.72819612,29547.68759099,-980.81449927
Region 3,2024-11-25,3889.26903889,1875.07778097,1693.37982148,31448.19730550,518.91833658
Region 3,2024-12-02,4544.28014156,3197.14719031,3404.95094643,31173.33816010,469.61151989
Region 3,2024-12-09,3478.71887907,2821.68483200,3185.86902278,29699.96716615,355.20285107
Region 3,2024-12-16,3294.04366745,2297.44244901,3113.23936237,30370.29531699,-160.47580386
Region 3,2024-12-23,2990.87172079,2971.26526602,3141.68023829,31997.10041177,558.65253429
Region 3,2024-12-30,3603.70993303,2571.59468925,2989.96426488,31218.25932119,-102.53522217
Region 3,2025-01-06,1909.08563964,2634.57167674,3020.76938287,32483.75847707,-743.69729754
Region 3,2025-01-13,2491.22764369,2436.12042439,2560.49764998,32038.32723729,321.64718854
Region 3,2025-01-20,3902.60978127,1801.19378488,2708.61991769,30479.39698806,-1061.32038585
Region 3,2025-01-27,3668.67459013,1345.09693917,2627.27148037,31058.98754602,429.98250934
Region 3,2025-02-03,3608.31039408,1661.12671979,2775.11397377,32224.70943212,198.54481732
Region 3,2025-02-10,4240.87561641,2388.19276297,2820.97513102,31761.18175633,662.17259469
Region 3,2025-02-17,3277.53067106,2364.80668839,2630.79207900,33974.76469802,640.87232035
Region 3,2025-02-24,3697.88911790,2750.77182424,3281.95974481,33358.22574367,142.04990372
Region 3,2025-03-03,2273.35896209,2625.31762279,2893.45784359,33327.91465412,79.26909719
Region 3,2025-03-10,3261.63375682,3222.04744612,2850.59995163,33652.20380781,-200.60923773
Region 3,2025-03-17,2208.74495498,2353.53140323,2651.74347912,32742.75286489,-520.23035817
Region 3,2025-03-24,3705.32342260,3219.13250886,2334.43679867,33755.45564943,-122.61581697
Region 3,2025-03-31,3267.12657378,2980.75672034,1818.58751627,32982.21681729,-328.11786341
Region 3,2025-04-07,3596.98956211,2664.69344302,3249.92981656,33468.17156482,1251.23813432
Region 3,2025-04-14,3695.51239005,2933.82728917,3293.99065564,32759.23777984,326.94444225
Region 3,2025-04-21,2428.98058571,2001.08661448,3088.53607395,33008.72960362,442.62119589
Region 3,2025-04-28,3773.65163348,2441.03380943,2927.60589381,34016.01699984,69.21506679
Region 3,2025-05-05,4088.60121912,1884.97402532,2714.87347488,33888.77233121,138.88154619
Region 3,2025-05-12,3270.00178698,2075.34361078,3300.52140508,33700.96027126,1048.62967614
Region 3,2025-05-19,3618.32356552,1557.67589410,3262.07641012,31466.95340645,-257.54546380
Region 3,2025-05-26,3202.87144699,2271.28429251,2720.82577473,30569.93984447,335.50759318
Region 3,2025-06-02,3451.39654606,1973.61755358,2667.63671619,30715.52283209,-21.50202535
Region 3,2025-06-09,1908.46111793,2184.29113626,2190.37812612,32528.25711531,269.36019827
Region 3,2025-06-16,3314.24443256,2321.35835232,2362.39378525,32762.90425504,-799.05060122
Region 3,2025-06-23,3017.55298825,2710.40066665,2070.24260060,31835.69791953,-47.26165207
Region 3,2025-06-30,3637.07155663,2767.28185466,1954.49639115,30551.38460885,-214.42892778
Region 3,2025-07-07,3110.47533800,3430.59499830,2986.05258592,28873.78818024,85.25335420
Region 3,2025-07-14,2837.55060976,2793.63502834,2853.01389334,30465.22905236,130.48241193
Region 3,2025-07-21,2591.23489439,3338.97043432,2525.16485073,31598.70452269,220.99652494
Region 3,2025-07-28,3711.35859014,2967.07816302,2796.77324761,30768.20839788,-405.35572396
Region 3,2025-08-04,3610.60119791,2160.96600772,2709.88359939,32487.55153612,-1144.05680900
Region 3,2025-08-11,3121.13831238,1797.01438569,2984.36134016,33271.97764856,169.11767691
Region 3,2025-08-18,2936.74894084,1351.25493857,3355.86516126,30988.59252209,2.63792222
Region 3,2025-08-25,3572.22437129,1018.26444853,3269.91972605,31503.16840941,282.84346002
Region 3,2025-09-01,3554.97148838,3073.96297337,2883.50533769,29133.29994781,-27.62826056
Region 3,2025-09-08,3116.77671246,2440.74947561,3203.54238601,31330.49512881,485.94597470
Region 3,2025-09-15,3423.60440184,2368.63165801,2842.93804445,30984.15767858,-601.08749971
Region 3,2025-09-22,3437.74888340,2198.45041145,3170.78671972,29918.73302291,63.19273973
