geo,time,population,demand,price,search_spend,search_impressions,social_spend,social_impressions,video_spend,video_impressions,revenue
Region 1,2024-08-05,160000,1.00086376,1.05828985,341.08442826,28423.70235470,1751.06022682,218882.52835277,976.77344600,195354.68920020,24926.46988762
Region 1,2024-08-12,160000,0.85475723,0.93398046,582.37290659,48531.07554937,808.90890125,101113.61265583,1026.47023970,205294.04794021,25700.53475171
Region 1,2024-08-19,160000,0.97866943,0.93315435,378.99388868,31582.82405668,914.83704489,114354.63061186,752.50162328,150500.32465664,26699.18914444
Region 1,2024-08-26,160000,0.85352112,1.03246793,679.84255018,56653.54584852,1171.17679046,146397.09880761,343.74142367,68748.28473408,25246.82686866
Region 1,2024-09-02,160000,0.93312800,1.02103594,346.12968018,28844.14001507,902.49223021,112811.52877616,983.78341184,196756.68236830,25084.07304679
Region 1,2024-09-09,160000,0.74587184,1.03831163,1378.39519672,114866.26639299,1478.57220915,184821.52614367,1663.34998403,332669.99680682,25207.01642582
Region 1,2024-09-16,160000,0.84405201,0.95274247,79.14225549,6595.18795782,648.42527976,81053.15996953,1195.90646498,239181.29299624,25079.58317072
Region 1,2024-09-23,160000,0.81065271,0.98133799,1820.58866251,151715.72187567,132.18442834,16523.05354273,891.13165011,178226.33002240,25776.14464864
Region 1,2024-09-30,160000,0.79800436,1.08099100,988.27837272,82356.53106001,1119.89016420,139986.27052439,635.16664356,127033.32871270,24814.58523226
Region 1,2024-10-07,160000,0.89848379,1.05255906,1018.39736936,84866.44744700,1098.51355240,137314.19405023,1931.34576523,386269.15304647,25931.41796960
Region 1,2024-10-14,160000,0.62138365,0.90060975,529.64064730,44136.72060804,733.82005025,91727.50628115,2492.42067467,498484.13493411,24941.45595027
Region 1,2024-10-21,160000,0.84367196,1.04919239,496.59611227,41383.00935565,2374.23278632,296779.09828940,1525.07301507,305014.60301407,27093.73670730
Region 1,2024-10-28,160000,0.86734552,1.03560134,579.97851290,48331.54274145,955.92112500,119490.14062525,283.91420234,56782.84046889,26010.34964034
Region 1,2024-11-04,160000,0.79549356,0.92335290,766.85188315,63904.32359625,490.79842889,61349.80361151,729.86350996,145972.70199223,26409.95442267
Region 1,2024-11-11,160000,0.94145244,1.03509200,468.88471978,39073.72664832,955.80415234,119475.51904279,1664.53449871,332906.89974232,25387.51253658
Region 1,2024-11-18,160000,0.84052888,1.00625789,751.55367181,62629.47265106,1040.48780973,130060.97621615,659.24803464,131849.60692845,25644.63531555
Region 1,2024-11-25,160000,0.88905602,0.98018528,601.53402684,50127.83557038,520.20447240,65025.55904971,1510.14859031,302029.71806131,26414.09144662
Region 1,2024-12-02,160000,0.99758645,0.97951934,510.85394066,42571.16172148,796.19762280,99524.70285017,131.17032222,26234.06444360,26236.82513433
Region 1,2024-12-09,160000,0.96979267,0.97804775,111.27263501,9272.71958400,1099.91055053,137488.81881614,1341.67555378,268335.11075599,25591.93078955
Region 1,2024-12-16,160000,0.88412728,0.98101288,360.36349451,30030.29120882,548.88615862,68610.76982774,2749.77912338,549955.82467589,25043.24430565
Region 1,2024-12-23,160000,0.98658551,1.03360603,146.63876565,12219.89713728,1304.55549035,163069.43629394,388.16167565,77632.33513003,25113.95887157
Region 1,2024-12-30,160000,1.03144878,1.02722680,317.91749823,26493.12485220,324.36028025,40545.03503120,365.54429692,73108.85938401,25479.92478330
Region 1,2025-01-06,160000,1.02107127,0.98779607,525.45694395,43788.07866281,2313.11570742,289139.46342702,624.96261226,124992.52245257,27201.80587566
Region 1,2025-01-13,160000,1.01850957,1.00485667,472.91423200,39409.51933351,871.66229669,108957.78708638,260.83878910,52167.75782095,26484.33982059
Region 1,2025-01-20,160000,1.08655543,0.79134581,2787.27895021,232273.24585088,1088.49988333,136062.48541563,1116.12309431,223224.61886217,29935.32932200
Region 1,2025-01-27,160000,0.99007166,1.08850635,1574.83132071,131235.94339284,978.63025933,122328.78241592,1764.66738033,352933.47606682,27440.52007870
Region 1,2025-02-03,160000,1.05705816,1.02229490,537.07941205,44756.61767118,1157.41171374,144676.46421750,690.06459250,138012.91849941,27496.95640912
Region 1,2025-02-10,160000,1.13068241,0.95690174,739.59553114,61632.96092815,296.74268623,37092.83577842,1321.61435932,264322.87186315,27331.78686170
Region 1,2025-02-17,160000,1.08868401,1.05294631,1758.03525957,146502.93829726,120.73400303,15091.75037820,236.09235533,47218.47106688,27007.98157431
Region 1,2025-02-24,160000,1.14166162,0.88859279,787.58632891,65632.19407565,1855.50760241,231938.45030121,802.10565314,160421.13062759,29563.47202581
Region 1,2025-03-03,160000,1.30705445,0.95819125,1107.76888023,92314.07335266,1001.15302823,125144.12852884,1126.47290761,225294.58152166,30491.19396066
Region 1,2025-03-10,160000,1.15785133,0.98621814,715.22538332,59602.11527689,439.94871770,54993.58971299,591.18786813,118237.57362637,26814.72127457
Region 1,2025-03-17,160000,1.15531717,1.02986604,483.38216581,40281.84715125,1709.92531462,213740.66432725,1767.12351424,353424.70284770,27988.53489903
Region 1,2025-03-24,160000,1.23495401,1.06240049,152.57043226,12714.20268826,2164.17028610,270521.28576286,689.47619997,137895.23999394,27076.77097607
Region 1,2025-03-31,160000,1.07738419,1.03178930,920.82179596,76735.14966350,730.93656505,91367.07063072,369.62236238,73924.47247526,26834.17853446
Region 1,2025-04-07,160000,1.15583875,0.93432232,905.63035994,75469.19666139,956.18331678,119522.91459812,916.37888008,183275.77601652,28155.54787670
Region 1,2025-04-14,160000,1.20844020,0.93931389,1138.75681136,94896.40094637,218.81505109,27351.88138579,3673.68566429,734737.13285847,29101.23506585
Region 1,2025-04-21,160000,1.19339300,0.98695994,964.97413983,80414.51165263,963.67916445,120459.89555661,424.17041607,84834.08321341,29097.43348332
Region 1,2025-04-28,160000,1.11573445,1.05237048,360.19348262,30016.12355152,601.35359178,75169.19897276,798.70428302,159740.85660381,27005.10005855
Region 1,2025-05-05,160000,1.21396444,1.10638391,828.17935487,69014.94623912,570.29686351,71287.10793867,691.02746373,138205.49274670,27564.02341895
Region 1,2025-05-12,160000,1.13166829,0.85804499,441.59961041,36799.96753423,1470.42205028,183802.75628504,2262.81329077,452562.65815405,29316.26913031
Region 1,2025-05-19,160000,1.18017524,0.98114385,416.51533854,34709.61154527,3954.54145603,494317.68200396,1155.46553622,231093.10724402,28975.53924375
Region 1,2025-05-26,160000,1.14610798,0.96590649,829.27909478,69106.59123195,1684.06797188,210508.49648485,985.12756985,197025.51397072,29542.21001911
Region 1,2025-06-02,160000,1.09529857,0.98129995,1554.03858684,129503.21556970,374.97149942,46871.43742800,2122.47043006,424494.08601183,29268.73170765
Region 1,2025-06-09,160000,1.05019368,0.97043239,1127.74108241,93978.42353421,1820.34960260,227543.70032518,633.44708524,126689.41704897,27822.93742114
Region 1,2025-06-16,160000,1.15103751,0.81751199,604.02099324,50335.08276975,1452.53630168,181567.03770985,391.91738994,78383.47798744,30364.39830931
Region 1,2025-06-23,160000,0.95713666,1.14024584,727.49475404,60624.56283702,914.38363472,114297.95434036,748.92327910,149784.65582071,25994.72715999
Region 1,2025-06-30,160000,0.93088145,1.12556672,520.75772292,43396.47690989,1008.58480868,126073.10108442,288.14839761,57629.67952179,24486.51901681
Region 1,2025-07-07,160000,1.06767697,0.91106447,337.86853392,28155.71115986,741.49515726,92686.89465725,349.53709383,69907.41876660,26562.72307920
Region 1,2025-07-14,160000,1.03928161,0.97944827,760.54019764,63378.34980345,1847.27062069,230908.82758645,222.52796712,44505.59342323,26906.31227806
Region 1,2025-07-21,160000,0.93710087,0.94220809,1585.41411551,132117.84295958,832.38509125,104048.13640564,912.50010503,182500.02100624,27467.90269561
Region 1,2025-07-28,160000,0.92322677,1.01338365,1668.67022687,139055.85223925,140.83761832,17604.70228952,1323.73105414,264746.21082891,26572.62835668
Region 1,2025-08-04,160000,0.78340942,0.98392368,851.15438161,70929.53180067,2044.05337456,255506.67181972,905.88062563,181176.12512695,27640.85349566
Region 1,2025-08-11,160000,0.90496489,0.95101335,591.18846047,49265.70503911,832.70498655,104088.12331827,735.98479490,147196.95898078,26960.62349969
Region 1,2025-08-18,160000,0.87146844,0.91824257,100.41848444,8368.20703629,1260.53163249,157566.45406164,231.76144258,46352.28851545,26303.21642585
Region 1,2025-08-25,160000,0.82314864,0.96542403,191.32716205,15943.93017055,457.16539822,57145.67477689,443.44686718,88689.37343534,24718.28001280
Region 1,2025-09-01,160000,0.88361454,1.07813789,612.92577144,51077.14762033,893.65675161,111707.09395170,1067.71961192,213543.92238465,24652.00614910
Region 1,2025-09-08,160000,0.80672079,1.06251335,442.90945727,36909.12143930,662.89137019,82861.42127382,2276.87322410,455374.64482030,24888.65156607
Region 1,2025-09-15,160000,0.89681360,1.01187186,759.17329221,63264.44101770,829.53577477,103691.97184666,678.94956388,135789.91277585,26564.48717207
Region 1,2025-09-22,160000,0.89537928,0.91447025,1104.34992446,92029.16037177,597.16189423,74645.23677823,1375.19431189,275038.86237714,27391.10167335
Region 1,2025-09-29,160000,0.77442329,0.98559954,381.73965213,31811.63767728,957.28509940,119660.63742541,1324.43073674,264886.14734797,26266.60916678
Region 1,2025-10-06,160000,0.80162322,1.03692641,150.43100219,12535.91684909,617.12228585,77140.28573091,1734.66672494,346933.34498732,24864.65223448
Region 1,2025-10-13,160000,0.91685891,1.01961066,620.23530325,51686.27527044,823.75443719,102969.30464836,1029.30107737,205860.21547366,26797.75732009
Region 1,2025-10-20,160000,0.80692599,1.02493462,1378.21751608,114851.45967368,429.21290429,53651.61303680,1077.85645110,215571.29021995,26067.07508152
Region 1,2025-10-27,160000,0.81180380,1.02614155,1078.56619606,89880.51633866,792.40545722,99050.68215282,1054.65383079,210930.76615707,25852.61909092
Region 1,2025-11-03,160000,0.96954244,0.82820810,150.11616559,12509.68046625,1484.90914970,185613.64371221,1011.95766758,202391.53351590,28163.75624337
Region 1,2025-11-10,160000,0.92671712,1.16897512,409.05401305,34087.83442063,667.63859475,83454.82434395,744.17534457,148835.06891374,24954.08058576
Region 1,2025-11-17,160000,1.01148908,0.94818675,1736.94654339,144745.54528251,142.16926211,17771.15776416,1067.39944245,213479.88848943,27635.72568616
Region 1,2025-11-24,160000,0.83262657,1.06390754,555.79090053,46315.90837709,996.37163823,124546.45477870,2593.55206555,518710.41311048,26021.14185953
Region 1,2025-12-01,160000,0.95486096,1.05008661,779.27981368,64939.98447296,2537.86720377,317233.40047182,2184.14477799,436828.95559762,27242.62088750
Region 1,2025-12-08,160000,0.89510205,1.05043974,868.61840466,72384.86705482,619.48078780,77435.09847496,706.83335412,141366.67082435,27510.44201699
Region 1,2025-12-15,160000,0.82655914,0.94359804,227.97142153,18997.61846106,3738.44781882,467305.97735214,1153.22443529,230644.88705871,27630.26493121
Region 1,2025-12-22,160000,0.91277597,0.99793131,362.95846828,30246.53902324,1122.20870011,140276.08751387,545.00072037,109000.14407348,26539.45751105
Region 2,2024-01-01,200000,0.88563982,0.97122349,832.78220850,69398.51737535,814.04402430,101755.50303737,4015.33777910,803067.55582065,30506.64631253
Region 2,2024-01-08,200000,1.13445939,0.99387982,790.83763868,65903.13655638,918.88880771,114861.10096378,504.79982483,100959.96496607,32151.59552326
Region 2,2024-01-15,200000,1.15118536,0.99109935,2000.58245051,166715.20420957,683.35406681,85419.25835115,952.97767466,190595.53493128,33817.73203350
Region 2,2024-01-22,200000,1.01789730,0.91070079,1442.96744825,120247.28735380,572.06397101,71507.99637615,828.48063814,165696.12762771,33403.86181836
Region 2,2024-01-29,200000,1.00213854,0.88797253,981.29336455,81774.44704616,3124.54524242,390568.15530240,1445.09228802,289018.45760401,33764.41710668
Region 2,2024-02-05,200000,1.21129141,1.01629033,189.56268304,15796.89025293,892.14536589,111518.17073596,1719.46647630,343893.29526006,32292.94251545
Region 2,2024-02-12,200000,1.02347126,0.92757117,396.26354698,33021.96224867,286.36086138,35795.10767244,2726.96899124,545393.79824835,31992.66243977
Region 2,2024-02-19,200000,1.09958305,0.91798075,661.63205769,55136.00480789,1094.84050022,136855.06252769,1029.55365406,205910.73081287,33182.93391973
Region 2,2024-02-26,200000,1.29468768,0.88182558,421.24303023,35103.58585219,294.09542736,36761.92841967,2129.99714969,425999.42993791,35630.70488304
Region 2,2024-03-04,200000,1.27372358,0.95991168,2382.12340508,198510.28375641,1195.92329855,149490.41231829,1276.70125181,255340.25036230,36277.27181861
Region 2,2024-03-11,200000,1.12820090,0.98952243,1063.46921436,88622.43453041,578.71513238,72339.39154771,998.34789108,199669.57821513,33745.03189307
Region 2,2024-03-18,200000,1.17638756,0.96762393,3045.85491885,253821.24323750,321.90743497,40238.42937141,2028.06272752,405612.54550403,34547.51526450
Region 2,2024-03-25,200000,1.16969915,0.96657910,574.32831560,47860.69296638,2878.90398221,359862.99777614,936.58431566,187316.86313190,35217.36297676
Region 2,2024-04-01,200000,1.14452079,0.80572908,1099.23951585,91603.29298769,4245.04517870,530630.64733735,796.14865976,159229.73195107,37272.28897637
Region 2,2024-04-08,200000,1.10811715,1.13023515,852.58891890,71049.07657494,1999.85726433,249982.15804167,2802.81683602,560563.36720456,34140.65175141
Region 2,2024-04-15,200000,1.27548373,1.07759643,1736.52931178,144710.77598203,140.25100795,17531.37599400,1859.59412359,371918.82471702,36098.14298138
Region 2,2024-04-22,200000,1.18741349,0.89156479,368.13932878,30678.27739820,504.48296365,63060.37045677,1463.55371627,292710.74325309,34889.62277832
Region 2,2024-04-29,200000,1.07428843,0.95489640,345.81929296,28818.27441319,2465.77827994,308222.28499307,1279.20186571,255840.37314164,33877.15046179
Region 2,2024-05-06,200000,1.22125274,1.10775542,641.75297920,53479.41493360,2209.98704107,276248.38013326,1538.92126467,307784.25293333,34323.50576014
Region 2,2024-05-13,200000,1.20708739,0.95454286,662.50244495,55208.53707953,605.38623004,75673.27875527,537.62009053,107524.01810688,34064.83245830
Region 2,2024-05-20,200000,1.18348095,1.04129135,1025.62049236,85468.37436332,755.44200493,94430.25061634,1371.46969785,274293.93956990,33938.56130199
Region 2,2024-05-27,200000,1.12975348,1.01526389,798.59547932,66549.62327627,155.66249679,19457.81209937,2762.83619290,552567.23857969,33617.62960227
Region 2,2024-06-03,200000,1.05599345,0.89629792,1088.51111764,90709.25980359,171.82137030,21477.67128719,2891.87720071,578375.44014299,33615.30020439
Region 2,2024-06-10,200000,0.92210741,1.02727574,116.28264734,9690.22061205,852.42665117,106553.33139683,3891.08125859,778216.25171738,30527.00465072
Region 2,2024-06-17,200000,1.18458822,1.02963690,1270.13297553,105844.41462726,523.86814260,65483.51782464,1517.43077167,303486.15433343,33813.11177809
Region 2,2024-06-24,200000,0.97053064,1.08415246,773.25899215,64438.24934546,1096.05939465,137007.42433115,857.36449766,171472.89953271,31395.14681302
Region 2,2024-07-01,200000,1.08231551,1.01511670,1209.22403541,100768.66961776,1790.71697984,223839.62247948,710.18866729,142037.73345877,34307.27771792
Region 2,2024-07-08,200000,0.98530164,0.82696264,250.35905488,20863.25457319,857.25213633,107156.51704105,209.62753204,41925.50640745,34250.66057827
Region 2,2024-07-15,200000,1.03072293,1.05163513,1517.23536829,126436.28069061,692.41747895,86552.18486873,1811.84102320,362368.20463933,32811.59574182
Region 2,2024-07-22,200000,0.90803897,0.96483577,1341.54091525,111795.07627103,193.80916592,24226.14574045,1086.91458059,217382.91611868,31488.03328841
Region 2,2024-07-29,200000,0.92316294,1.00422739,1556.04438423,129670.36535220,837.22869269,104653.58658615,1424.02711375,284805.42274991,32047.10370637
Region 2,2024-08-05,200000,0.89741943,0.98451498,593.86553625,49488.79468776,992.44347727,124055.43465916,786.91055394,157382.11078811,31916.21802961
Region 2,2024-08-12,200000,0.94442809,0.99658473,644.77471956,53731.22662963,3999.83003413,499978.75426594,222.89181008,44578.36201655,32484.34138876
Region 2,2024-08-19,200000,0.73623791,0.96792853,1079.43923586,89953.26965504,1685.62849202,210703.56150294,303.17299931,60634.59986140,31623.95069382
Region 2,2024-08-26,200000,0.83210505,0.95077249,238.63716306,19886.43025528,1978.42941839,247303.67729873,759.14494028,151828.98805676,32178.65320202
Region 2,2024-09-02,200000,0.84219983,1.07692027,1375.43822447,114619.85203937,940.84464971,117605.58121399,206.19131476,41238.26295101,30696.25365659
Region 2,2024-09-09,200000,0.68039977,0.96305090,690.76844020,57564.03668319,251.37067855,31421.33481826,535.71054716,107142.10943112,28639.63540362
Region 2,2024-09-16,200000,0.97818905,1.00386803,1244.67696216,103723.08018010,403.21513267,50401.89158323,1332.26825406,266453.65081124,31826.68979224
Region 2,2024-09-23,200000,0.81990719,1.04481259,2841.17127700,236764.27308304,1810.24957857,226281.19732091,755.94420262,151188.84052345,31467.57075534
Region 2,2024-09-30,200000,0.78799221,1.07614927,789.04720334,65753.93361162,2084.20194428,260525.24303450,2324.68179909,464936.35981749,31188.05423541
Region 2,2024-10-07,200000,0.63991107,1.02641425,613.31599929,51109.66660780,436.19569344,54524.46167956,1102.96719709,220593.43941738,29904.46579823
Region 2,2024-10-14,200000,0.78602420,1.05853243,263.62191063,21968.49255216,2120.96599424,265120.74927987,2040.94682233,408189.36446651,31117.57190276
Region 2,2024-10-21,200000,0.77167571,1.00986553,484.09240300,40341.03358292,741.63059598,92703.82449695,2377.84616063,475569.23212607,30676.44573735
Region 2,2024-10-28,200000,0.89147280,0.90101336,1392.07847470,116006.53955859,1177.00116267,147125.14533346,1211.47052489,242294.10497790,33511.50785754
Region 2,2024-11-04,200000,0.86530387,0.97973822,622.00380445,51833.65037118,2545.79907277,318224.88409605,1613.15285322,322630.57064313,33645.82679598
Region 2,2024-11-11,200000,0.94677035,1.16336643,367.97774425,30664.81202083,1089.46741574,136183.42696743,1612.43946031,322487.89206118,32324.06218735
Region 2,2024-11-18,200000,0.75862372,0.93356467,863.93607186,71994.67265529,2136.51907414,267064.88426707,3289.39901760,657879.80351980,32985.48986352
Region 2,2024-11-25,200000,0.73847450,1.02803701,1247.87612426,103989.67702164,1081.41626396,135177.03299533,1210.55962493,242111.92498545,32658.14765237
Region 2,2024-12-02,200000,0.90868132,1.02142898,357.16551198,29763.79266516,1483.39886559,185424.85819841,1256.19806884,251239.61376885,32442.40959308
Region 2,2024-12-09,200000,0.82061999,0.88092655,617.79985066,51483.32088837,1779.80904950,222476.13118736,231.93985450,46387.97089957,32463.46297858
Region 2,2024-12-16,200000,0.86151115,1.11316437,189.45473682,15787.89473489,680.24264509,85030.33063595,1466.17115330,293234.23065934,29156.04743920
Region 2,2024-12-23,200000,0.91923341,0.99260752,679.14626489,56595.52207449,2090.62025376,261327.53172046,7392.74986061,1478549.97212190,33735.06054828
Region 2,2024-12-30,200000,1.00752345,0.97386640,841.34364337,70111.97028093,367.13959101,45892.44887573,1030.86999186,206173.99837228,34133.24452529
Region 2,2025-01-06,200000,0.95568242,1.01804411,271.35113874,22612.59489483,676.85412405,84606.76550645,3371.42093328,674284.18665551,31805.46722402
Region 2,2025-01-13,200000,0.91342831,0.88932542,1351.07426892,112589.52241032,1455.18447953,181898.05994109,1073.67771757,214735.54351459,35124.97491844
Region 2,2025-01-20,200000,1.13807341,0.99155395,1126.72976868,93894.14739015,933.55390227,116694.23778392,1599.45028971,319890.05794121,35404.25404357
Region 2,2025-01-27,200000,0.98322552,1.00201042,841.75265361,70146.05446778,675.02820013,84378.52501608,1238.22709864,247645.41972727,33838.78477924
Region 2,2025-02-03,200000,1.05177307,1.00869435,1826.19218893,152182.68241060,532.83236315,66604.04539321,2304.03090350,460806.18069981,34305.78544709
Region 2,2025-02-10,200000,1.08198944,1.05682061,533.23639282,44436.36606809,1006.02686131,125753.35766314,1282.25027906,256450.05581272,32978.66296724
Region 2,2025-02-17,200000,1.21135943,1.06680054,164.69572974,13724.64414502,5478.91805731,684864.75716415,1463.24870498,292649.74099558,34240.39989054
Region 2,2025-02-24,200000,1.11123763,1.07297656,122.56360398,10213.63366517,186.70090434,23337.61304213,933.58417147,186716.83429405,32817.84625990
Region 2,2025-03-03,200000,1.14192190,0.95899586,725.10037420,60425.03118301,1521.29820201,190162.27525080,1484.25361279,296850.72255755,35688.35773693
Region 2,2025-03-10,200000,1.11858395,1.04569148,226.17731497,18848.10958063,1732.70343597,216587.92949588,1479.64040334,295928.08066750,34335.80685818
Region 2,2025-03-17,200000,1.13635832,0.89270963,782.99872315,65249.89359592,926.13682276,115767.10284522,1773.90492930,354780.98585959,35124.39564838
Region 2,2025-03-24,200000,1.27337733,0.91980303,923.54831834,76962.35986137,2321.77818500,290222.27312488,4348.75638417,869751.27683447,38072.56824005
Region 2,2025-03-31,200000,1.30413060,1.08338902,2125.74251213,177145.20934433,628.97529283,78621.91160359,1220.38649211,244077.29842202,37283.30941850
Region 2,2025-04-07,200000,1.15317317,1.02154966,666.43311363,55536.09280250,808.71500279,101089.37534859,352.80619302,70561.23860321,34661.09962386
Region 2,2025-04-14,200000,1.06460944,1.05212659,1177.93888681,98161.57390053,827.21740632,103402.17579053,1875.12898133,375025.79626593,33694.11690997
Region 2,2025-04-21,200000,1.19147370,1.06406973,1053.11306741,87759.42228390,2576.21287988,322026.60998540,644.47591812,128895.18362307,35107.32592102
Region 2,2025-04-28,200000,1.19490721,0.95622274,535.30536001,44608.78000058,1389.50110632,173687.63828941,234.33343906,46866.68781202,35185.52265222
Region 2,2025-05-05,200000,1.21879304,1.08361615,1904.42734244,158702.27853673,939.18629551,117398.28693815,2111.47058439,422294.11687717,34424.78728250
Region 2,2025-05-12,200000,1.27813342,0.99636093,819.37622867,68281.35238919,205.75998941,25719.99867673,3511.81732702,702363.46540328,37155.14603637
Region 2,2025-05-19,200000,1.02647154,0.96943857,1096.30880286,91359.06690476,223.21561536,27901.95192016,963.72666291,192745.33258271,33413.60388436
Region 2,2025-05-26,200000,1.11734954,1.05352922,1190.06837085,99172.36423753,1322.56071513,165320.08939172,655.44099093,131088.19818576,34309.65937505
Region 2,2025-06-02,200000,1.08118137,0.97823417,149.87796321,12489.83026726,742.18246179,92772.80772341,931.94101570,186388.20314074,34061.19307454
Region 2,2025-06-09,200000,1.12443775,1.01830544,1024.27824439,85356.52036605,898.60670031,112325.83753821,2633.41742550,526683.48509953,34336.94327965
Region 2,2025-06-16,200000,1.02869285,1.13508780,649.85130024,54154.27501966,323.49913103,40437.39137923,991.40890485,198281.78096972,31827.03125924
Region 2,2025-06-23,200000,0.91179384,0.97239118,847.71928582,70643.27381874,542.28578667,67785.72333316,835.08187596,167016.37519290,32975.90904537
Region 2,2025-06-30,200000,0.90244927,0.97462185,1016.38277607,84698.56467230,1558.30286855,194787.85856838,632.38703488,126477.40697571,33246.67414567
Region 2,2025-07-07,200000,0.94332350,0.98954779,1029.84772290,85820.64357473,1917.68138319,239710.17289903,1312.76670060,262553.34011979,33979.51479936
Region 2,2025-07-14,200000,0.99265938,1.02260085,430.00619526,35833.84960538,884.17582027,110521.97753355,1438.32543043,287665.08608548,33414.06780306
Region 2,2025-07-21,200000,1.03359644,1.06025989,1467.97933509,122331.61125712,750.73174346,93841.46793288,191.96165120,38392.33024039,34144.73052501
Region 2,2025-07-28,200000,0.82895787,0.90330072,1227.31845868,102276.53822373,1372.04487650,171505.60956263,1263.62249337,252724.49867314,34045.21020271
